insight_type,entity,metric_1,metric_2,metric_3
Top current market value,Erling Haaland,Attack,Manchester City,200000000.0
Top current market value,Lamine Yamal,Attack,FC Barcelona,200000000.0
Top current market value,Kylian Mbappé,Attack,Real Madrid,180000000.0
Top current market value,Michael Olise,Attack,Bayern Munich,150000000.0
Top current market value,Pedri,Midfield,FC Barcelona,150000000.0
Top current market value,Vinicius Junior,Attack,Real Madrid,140000000.0
Top current market value,Vitinha,Midfield,Paris Saint-Germain,140000000.0
Top current market value,Khvicha Kvaratskhelia,Attack,Paris Saint-Germain,140000000.0
Top current market value,João Neves,Midfield,Paris Saint-Germain,140000000.0
Top current market value,Jude Bellingham,Midfield,Real Madrid,130000000.0
Top scorer in sample period,Harry Kane,Goals 36,Assists 4,2499
Top scorer in sample period,Luis Suárez,Goals 23,Assists 6,2616
Top scorer in sample period,Erling Haaland,Goals 22,Assists 6,2649
Top scorer in sample period,Vinicius Junior,Goals 21,Assists 7,3080
Top scorer in sample period,Kylian Mbappé,Goals 21,Assists 5,2140
Top destination by transfer fees,Chelsea,"Fees €1,242,880,000",Transfers 59,
Top destination by transfer fees,Man City,"Fees €1,012,900,000",Transfers 33,
Top destination by transfer fees,Liverpool,"Fees €902,650,000",Transfers 28,
Top destination by transfer fees,Arsenal,"Fees €844,500,000",Transfers 33,
Top destination by transfer fees,Man Utd,"Fees €827,670,000",Transfers 36,
