appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
4776668_763079,4776668,763079,3563,281,2026-06-28,Abdukodir Khusanov,FIWC,1,0,0,0,90
4776665_948294,4776665,948294,3437,1047,2026-06-28,Nico Paz,FIWC,0,0,0,0,61
4776667_225161,4776667,225161,3300,1114,2026-06-28,Rúben Neves,FIWC,0,0,0,0,45
4776666_905011,4776666,905011,3614,15,2026-06-28,Ibrahim Maza,FIWC,0,0,0,0,90
4776666_578391,4776666,578391,3614,281,2026-06-28,Rayan Aït-Nouri,FIWC,0,0,0,0,19
4776666_418659,4776666,418659,3614,244,2026-06-28,Amine Gouiri,FIWC,0,0,0,0,71
4776666_404950,4776666,404950,3383,23826,2026-06-28,Nicolas Seiwald,FIWC,0,0,0,0,90
4776666_223967,4776666,223967,3383,27,2026-06-28,Konrad Laimer,FIWC,0,0,0,1,90
4776665_844797,4776665,844797,3437,1023,2026-06-28,José Manuel López,FIWC,0,0,0,0,8
4776667_258004,4776667,258004,3300,281,2026-06-28,Rúben Dias,FIWC,0,0,0,0,90
4776665_742201,4776665,742201,3437,13,2026-06-28,Giuliano Simeone,FIWC,0,0,0,0,71
4776665_576024,4776665,576024,3437,13,2026-06-28,Julián Alvarez,FIWC,0,0,0,0,82
4776665_534033,4776665,534033,3437,31,2026-06-28,Alexis Mac Allister,FIWC,0,0,0,0,29
4776665_469781,4776665,469781,3437,989,2026-06-28,Marcos Senesi,FIWC,0,0,0,1,90
4776665_406625,4776665,406625,3437,46,2026-06-28,Lautaro Martínez,FIWC,0,0,1,0,60
4776665_401578,4776665,401578,3437,15,2026-06-28,Exequiel Palacios,FIWC,0,0,0,0,90
4776667_240306,4776667,240306,3300,985,2026-06-28,Bruno Fernandes,FIWC,0,0,0,0,90
4776665_849410,4776665,849410,3437,667,2026-06-28,Valentín Barco,FIWC,0,0,0,0,19
4776667_357147,4776667,357147,3300,985,2026-06-28,Diogo Dalot,FIWC,0,0,0,0,45
4776667_601883,4776667,601883,3300,281,2026-06-28,Matheus Nunes,FIWC,0,0,0,0,1
4776667_357153,4776667,357153,3300,720,2026-06-28,Diogo Costa,FIWC,0,0,0,0,90
4776668_727089,4776668,727089,3854,289,2026-06-28,Noah Sadiki,FIWC,1,0,0,0,90
4776668_388165,4776668,388165,3854,762,2026-06-28,Yoane Wissa,FIWC,0,0,2,0,90
4776667_805714,4776667,805714,3300,1050,2026-06-28,Renato Veiga,FIWC,0,0,0,0,90
4776667_670681,4776667,670681,3300,583,2026-06-28,João Neves,FIWC,0,0,0,0,45
4776667_616341,4776667,616341,3300,583,2026-06-28,Nuno Mendes,FIWC,0,0,0,0,90
4776667_735573,4776667,735573,3816,294,2026-06-28,Richard Ríos,FIWC,0,0,0,0,30
4776667_487469,4776667,487469,3300,583,2026-06-28,Vitinha,FIWC,0,0,0,0,70
4776667_487465,4776667,487465,3300,631,2026-06-28,Pedro Neto,FIWC,0,0,0,0,90
4776667_480692,4776667,480692,3816,27,2026-06-28,Luis Díaz,FIWC,0,0,0,0,90
4776667_462250,4776667,462250,3300,18544,2026-06-28,João Félix,FIWC,0,0,0,0,70
4776667_424784,4776667,424784,3816,336,2026-06-28,Luis Suárez,FIWC,0,0,0,0,30
4776667_357164,4776667,357164,3300,5,2026-06-28,Rafael Leão,FIWC,0,0,0,0,20
4776661_683840,4776661,683840,3375,131,2026-06-27,Pedri,FIWC,0,0,0,0,60
4776661_351478,4776661,351478,3375,681,2026-06-27,Mikel Oyarzabal,FIWC,0,0,0,0,76
4776661_572675,4776661,572675,3449,336,2026-06-27,Maxi Araújo,FIWC,0,0,0,0,90
4776661_568157,4776661,568157,3375,1050,2026-06-27,Yéremy Pino,FIWC,0,0,0,0,24
4776661_548111,4776661,548111,3375,13,2026-06-27,Álex Baena,FIWC,1,0,1,0,66
4776661_476701,4776661,476701,3449,985,2026-06-27,Manuel Ugarte,FIWC,0,0,0,0,45
4776661_398184,4776661,398184,3375,131,2026-06-27,Ferran Torres,FIWC,0,0,0,0,14
4776661_369081,4776661,369081,3449,418,2026-06-27,Federico Valverde,FIWC,0,0,0,0,57
4776661_357565,4776661,357565,3375,281,2026-06-27,Rodri,FIWC,0,0,0,0,90
4776659_435772,4776659,435772,3382,800,2026-06-27,Charles De Ketelaere,FIWC,0,0,0,0,85
4776661_350219,4776661,350219,3375,583,2026-06-27,Fabián Ruiz,FIWC,0,0,0,0,30
4776661_338424,4776661,338424,3375,11,2026-06-27,Mikel Merino,FIWC,0,0,0,0,60
4776661_293385,4776661,293385,3375,131,2026-06-27,Dani Olmo,FIWC,0,0,0,0,30
4776660_445939,4776660,445939,3672,281,2026-06-27,Omar Marmoush,FIWC,0,0,0,0,45
4776659_724129,4776659,724129,3382,1082,2026-06-27,Matias Fernandez-Pardo,FIWC,0,0,0,0,34
4776659_486049,4776659,486049,3382,281,2026-06-27,Jérémy Doku,FIWC,0,0,0,0,56
4776659_485706,4776659,485706,3382,405,2026-06-27,Amadou Onana,FIWC,0,0,0,0,18
4776659_249565,4776659,249565,3382,405,2026-06-27,Youri Tielemans,FIWC,0,0,0,0,85
4776661_937958,4776661,937958,3375,131,2026-06-27,Lamine Yamal,FIWC,0,0,0,0,76
4776661_709187,4776661,709187,3375,621,2026-06-27,Nico Williams,FIWC,0,0,0,0,14
